Designator,Footprint,Quantity,Value,LCSC Part #
"C8, C9",Capacitor_0402,2,1uF,C52923
F1,Fuse_0603,1,500mA,C210357
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J2,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"R2, R3",Resistor_0402,2,5.1k,C25905
U3,Voltage_SOT-23,1,XC6206,C5446
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
