Designator,Mid X,Mid Y,Rotation,Layer
C8,148.247692,-89.994502,180.0,top
C9,149.198692,-94.879502,180.0,top
F1,147.938694,-88.742002,0.0,top
J1,151.662443,-73.327005,180.0,top
J2,151.912446,-100.535029,0.0,top
R2,153.507443,-79.952005,0.0,top
R3,149.912441,-79.839505,270.0,top
U3,148.728692,-92.437002,270.0,top
U4,152.162443,-87.427005,0.0,top
